"ET","CC","Priority","CI","OE","OW","NI","SI","RI","FI"
217.895,3,2,2,99,331,0,1,2,0
668.071,3,2,2,0,17623,0,2,1,0
217.916,3,2,3,99,331,0,0,3,0
302.811,21,2,24,1,40,153,3,0,54
315.768,3,2,1,126,21,0,0,1,2
8.16,3,2,3,0,17623,0,0,1,2
285.712,5,2,3,0,17623,3,1,0,6
100.632,3,2,2,255,57,1,0,0,2
51.926,3,2,2,99,331,0,2,1,0
153.989,9,2,24,99,331,21,0,1,14
15.858,15,2,24,375,249,78,1,0,26
295.237,3,2,2,84,118,0,0,1,2
352.545,6,2,6,84,118,3,0,3,9
292.213,4,2,3,375,249,0,1,2,3
129.851,3,2,2,0,17623,0,0,1,2
103.88,18,2,24,120,90,120,1,0,32
285.832,3,2,2,375,249,0,1,0,2
135.855,3,2,3,99,331,0,0,1,2
165.977,3,2,1,99,331,0,0,3,0
271.522,4,2,2,138,92,0,2,1,3
601.948,6,2,8,0,17623,6,0,1,8
108.643,4,2,3,99,331,1,0,1,4
163.19,5,2,6,99,331,3,0,1,6
399.489,6,2,7,5,10,10,0,0,5
135.92,4,2,10,99,331,1,0,1,4
158.023,5,2,6,99,331,0,1,5,4
151.942,3,2,4,99,331,0,0,3,0
594.167,5,2,4,99,331,0,1,5,4
141.474,3,2,4,99,331,0,0,1,2
137.043,3,2,2,99,331,0,0,3,0
455.229,16,2,16,96,115,45,9,6,60
241.485,5,2,6,138,92,0,2,4,4
132.862,3,2,4,99,331,0,2,1,0
132.082,3,2,2,99,331,0,0,3,0
122.029,3,2,3,99,331,0,0,1,2
122.015,3,2,3,99,331,0,0,3,0
234.17,7,2,13,84,118,3,1,5,12
305.806,4,2,2,40,97,0,2,1,3
59.417,20,2,25,0,2,153,1,0,36
122.062,3,2,3,99,331,0,0,1,2
389.353,5,2,5,0,17623,6,0,0,4
229.431,3,2,1,126,21,0,1,2,0
122.017,4,2,5,99,331,0,1,5,0
410.535,22,2,23,99,331,171,2,1,57
160.686,5,2,4,114,77,0,4,2,4
391.358,8,2,16,375,249,10,2,1,15
24.705,3,2,8,69,10,0,1,0,2
563.221,10,2,10,0,17623,45,0,0,0
295.083,4,2,4,40,97,1,0,1,4
306.595,5,2,9,84,118,6,0,0,4
220.261,3,2,1,84,118,0,0,1,2
74.17,3,2,1,99,331,0,0,1,2
129.245,17,2,20,111,40,66,6,4,60
215.018,4,2,4,4,2,0,2,1,3
110.065,24,2,25,138,92,210,3,0,63
215.944,3,2,1,84,118,0,0,3,0
143.171,3,2,5,0,17623,0,1,0,2
331.093,5,3,7,255,57,3,1,0,6
523.207,18,2,20,99,331,120,0,1,32
102.837,3,2,2,99,331,0,0,3,0
102.818,3,2,3,99,331,0,0,1,2
211.981,5,2,7,138,92,1,1,2,6
93.489,3,2,3,99,331,0,0,1,2
479.279,5,2,3,138,92,3,0,1,6
10.111,3,5,3,255,57,1,0,0,2
281.011,8,2,10,0,17623,21,0,0,7
251.201,7,2,11,138,92,10,1,0,10
226.8,8,2,13,18,104,10,2,1,15
230.484,4,2,2,84,118,0,0,3,3
371.686,5,2,4,99,331,3,0,1,6
47.056,15,2,25,0,17623,78,0,1,26
53.014,3,2,4,99,331,0,0,3,0
84.15,3,2,2,99,331,0,0,3,0
328.094,6,2,8,138,92,6,0,1,8
117.936,16,2,25,6,36,105,0,0,15
187.21,3,2,1,375,249,0,1,2,0
